Motion detected in 284 frames
Frame 1: 1 objects detected
  Object 24: x=122, y=0, width=104, height=48
Frame 37: 26 objects detected
  Object 1: x=158, y=768, width=26, height=31
  Object 2: x=342, y=760, width=158, height=42
  Object 3: x=260, y=748, width=69, height=54
  Object 4: x=434, y=688, width=31, height=44
  Object 5: x=397, y=340, width=53, height=21
  Object 6: x=449, y=318, width=51, height=45
  Object 7: x=190, y=219, width=304, height=142
  Object 8: x=0, y=209, width=143, height=160
  Object 9: x=352, y=169, width=34, height=31
  Object 10: x=271, y=154, width=29, height=39
  Object 11: x=9, y=153, width=84, height=46
  Object 12: x=304, y=145, width=36, height=54
  Object 13: x=343, y=138, width=48, height=27
  Object 14: x=377, y=102, width=32, height=39
  Object 15: x=344, y=95, width=30, height=37
  Object 16: x=0, y=82, width=35, height=70
